date,username,sku,model,quantity,gross_amount,discount_amount,net_amount
2026-06-23,nfischer,copilot_ai_credit,claude-opus-4.6,18.623001282,0.186230012,0.054006703,0.132223309
2026-06-26,nfischer,copilot_ai_credit,claude-4.5-haiku,22.653628308,0.226536283,0.183494389,0.043041894
2026-06-29,nfischer,copilot_ai_credit,claude-sonnet-5,35.940727833,0.359407278,0.283931749,0.075475529
2026-06-29,nfischer,copilot_ai_credit,gpt-5.3-codex,42.282773708,0.422827737,0.334033912,0.088793825
2026-07-01,nfischer,copilot_ai_credit,claude-sonnet-5,23.647789079,0.23647789,0.231748332,0.004729558
2026-07-01,nfischer,copilot_ai_credit,claude-opus-4.6,1.509584877,0.015095848,0.014793931,0.000301917
2026-07-01,nfischer,copilot_ai_credit,gpt-5.6-sol,30.857948665,0.308579486,0.302407896,0.00617159
2026-07-02,nfischer,copilot_ai_credit,claude-sonnet-5,19.181471858,0.191814718,0.080562181,0.111252537
2026-07-03,nfischer,copilot_ai_credit,claude-opus-4.6,9.485037704,0.094850377,0.085365339,0.009485038
2026-07-03,nfischer,copilot_ai_credit,gpt-5.3-codex,45.488492255,0.454884922,0.409396429,0.045488493
2026-07-06,nfischer,copilot_ai_credit,claude-sonnet-5,19.417514507,0.194175145,0.097087572,0.097087573
2026-07-07,nfischer,copilot_ai_credit,claude-sonnet-5,25.639818315,0.256398183,0.176914746,0.079483437
2026-07-07,nfischer,copilot_ai_credit,claude-opus-4.6,19.773453702,0.197734537,0.13643683,0.061297707
2026-07-08,nfischer,copilot_ai_credit,claude-sonnet-5,30.905972067,0.30905972,0.111261499,0.197798221
2026-07-08,nfischer,copilot_ai_credit,claude-opus-4.6,1.694053132,0.016940531,0.006098591,0.01084194
2026-07-09,nfischer,copilot_ai_credit,claude-sonnet-5,8.363138069,0.08363138,0.040979376,0.042652004
2026-07-09,nfischer,copilot_ai_credit,gpt-5.3-codex,23.77568284,0.237756828,0.116500845,0.121255983
2026-07-10,nfischer,copilot_ai_credit,claude-opus-4.6,22.161128674,0.221611286,0.050970595,0.170640691
2026-07-10,nfischer,copilot_ai_credit,gpt-5.6-sol,13.694386351,0.136943863,0.031497088,0.105446775
2026-07-12,nfischer,copilot_ai_credit,claude-sonnet-5,42.161029372,0.421610293,0.396313675,0.025296618
2026-07-12,nfischer,copilot_ai_credit,claude-opus-4.6,16.151839662,0.161518396,0.151827292,0.009691104
2026-07-12,nfischer,copilot_ai_credit,gpt-5.6-sol,31.238413979,0.312384139,0.29364109,0.018743049
2026-07-14,nfischer,copilot_ai_credit,claude-opus-4.6,0.876965094,0.00876965,0.003770949,0.004998701
2026-07-14,nfischer,copilot_ai_credit,gpt-5.6-sol,41.405933429,0.414059334,0.178045513,0.236013821
2026-07-17,nfischer,copilot_ai_credit,claude-sonnet-5,31.623589042,0.31623589,0.25615107,0.06008482
2026-07-20,nfischer,copilot_ai_credit,claude-opus-4.6,12.29493462,0.122949346,0.055327205,0.067622141
2026-06-24,ofischer,copilot_ai_credit,claude-opus-4.6,5.927613829,0.059276138,0.022524932,0.036751206
2026-06-24,ofischer,copilot_ai_credit,gpt-5.3-codex,22.805222948,0.228052229,0.086659847,0.141392382
2026-06-29,ofischer,copilot_ai_credit,claude-sonnet-5,44.874759917,0.448747599,0.314123319,0.13462428
2026-06-29,ofischer,copilot_ai_credit,claude-opus-4.6,9.270293344,0.092702933,0.064892053,0.02781088
2026-06-29,ofischer,copilot_ai_credit,claude-4.5-haiku,31.644426663,0.316444266,0.221510986,0.09493328
2026-07-06,ofischer,copilot_ai_credit,claude-sonnet-5,12.161095743,0.121610957,0.058373259,0.063237698
2026-07-21,ofischer,copilot_ai_credit,claude-sonnet-5,23.346407567,0.233464075,0.214786949,0.018677126
2026-07-21,ofischer,copilot_ai_credit,claude-opus-4.6,1.415756722,0.014157567,0.013024961,0.001132606
2026-06-23,anovak,copilot_ai_credit,claude-sonnet-5,20.279137063,0.20279137,0.129786476,0.073004894
2026-06-23,anovak,copilot_ai_credit,gpt-5.3-codex,26.24251001,0.2624251,0.167952064,0.094473036
2026-06-30,anovak,copilot_ai_credit,claude-sonnet-5,13.742269356,0.137422693,0.079705161,0.057717532
2026-06-30,anovak,copilot_ai_credit,gpt-5.3-codex,37.363266889,0.373632668,0.216706947,0.156925721
2026-07-01,anovak,copilot_ai_credit,claude-sonnet-5,12.370201218,0.123702012,0.033399543,0.090302469
2026-07-01,anovak,copilot_ai_credit,claude-opus-4.6,37.056886199,0.370568861,0.100053592,0.270515269
2026-07-01,anovak,copilot_ai_credit,gpt-5.3-codex,24.551481623,0.245514816,0.066289,0.179225816
2026-07-02,anovak,copilot_ai_credit,claude-sonnet-5,33.620431963,0.336204319,0.309307973,0.026896346
2026-07-06,anovak,copilot_ai_credit,gpt-5.6-sol,11.743484307,0.117434843,0.097470919,0.019963924
2026-07-07,anovak,copilot_ai_credit,claude-sonnet-5,19.79720131,0.197972013,0.063351044,0.134620969
2026-07-07,anovak,copilot_ai_credit,gpt-5.6-sol,3.065542583,0.030655425,0.009809736,0.020845689
2026-07-07,anovak,copilot_ai_credit,claude-4.5-haiku,43.323559989,0.433235599,0.138635391,0.294600208
2026-07-18,anovak,copilot_ai_credit,claude-4.5-haiku,37.683568452,0.376835684,0.324078688,0.052756996
2026-07-21,anovak,copilot_ai_credit,claude-sonnet-5,5.375090171,0.053750901,0.043538229,0.010212672
2026-07-21,anovak,copilot_ai_credit,gpt-5.3-codex,13.422079775,0.134220797,0.108718845,0.025501952
2026-06-24,wokafor,copilot_ai_credit,gpt-5.6-sol,7.000837866,0.070008378,0.051106115,0.018902263
2026-06-25,wokafor,copilot_ai_credit,claude-sonnet-5,11.675726552,0.116757265,0.060713777,0.056043488
2026-06-25,wokafor,copilot_ai_credit,claude-opus-4.6,24.884266858,0.248842668,0.129398187,0.119444481
2026-06-30,wokafor,copilot_ai_credit,gpt-5.6-sol,10.902579803,0.109025798,0.038159029,0.070866769
2026-07-01,wokafor,copilot_ai_credit,claude-sonnet-5,0.639126915,0.006391269,0.005688229,0.00070304
2026-07-01,wokafor,copilot_ai_credit,claude-opus-4.6,1.144689116,0.011446891,0.010187732,0.001259159
2026-07-07,wokafor,copilot_ai_credit,claude-opus-4.6,2.817391981,0.028173919,0.01042435,0.017749569
2026-07-07,wokafor,copilot_ai_credit,gpt-5.6-sol,25.093237552,0.250932375,0.092844978,0.158087397
2026-07-13,wokafor,copilot_ai_credit,claude-sonnet-5,6.966858971,0.069668589,0.02020389,0.049464699
2026-07-13,wokafor,copilot_ai_credit,gpt-5.3-codex,2.908388604,0.029083886,0.008434326,0.02064956
2026-07-15,wokafor,copilot_ai_credit,claude-sonnet-5,5.211347807,0.052113478,0.014070639,0.038042839
2026-07-16,wokafor,copilot_ai_credit,claude-sonnet-5,5.686455536,0.056864555,0.043217061,0.013647494
2026-07-09,emeyer,copilot_ai_credit,claude-sonnet-5,13.524365816,0.135243658,0.09872787,0.036515788
2026-07-09,emeyer,copilot_ai_credit,claude-opus-4.6,38.616193104,0.386161931,0.281898209,0.104263722
2026-06-22,ikaur,copilot_ai_credit,claude-sonnet-5,17.180752474,0.171807524,0.089339912,0.082467612
2026-06-22,ikaur,copilot_ai_credit,claude-opus-4.6,3.915209863,0.039152098,0.02035909,0.018793008
2026-06-28,ikaur,copilot_ai_credit,claude-sonnet-5,3.636355344,0.036363553,0.032727197,0.003636356
2026-06-28,ikaur,copilot_ai_credit,claude-opus-4.6,35.173509437,0.351735094,0.316561584,0.03517351
2026-06-28,ikaur,copilot_ai_credit,claude-4.5-haiku,18.702188599,0.187021885,0.168319696,0.018702189
2026-06-29,ikaur,copilot_ai_credit,claude-sonnet-5,17.364792246,0.173647922,0.121553545,0.052094377
2026-06-30,ikaur,copilot_ai_credit,claude-sonnet-5,25.572730023,0.2557273,0.158550926,0.097176374
2026-06-30,ikaur,copilot_ai_credit,claude-opus-4.6,19.0153707,0.190153707,0.117895298,0.072258409
2026-06-30,ikaur,copilot_ai_credit,gpt-5.3-codex,14.870261419,0.148702614,0.09219562,0.056506994
2026-07-01,ikaur,copilot_ai_credit,claude-sonnet-5,43.101213369,0.431012133,0.262917401,0.168094732
2026-07-01,ikaur,copilot_ai_credit,gpt-5.3-codex,39.139486257,0.391394862,0.238750865,0.152643997
