date,username,sku,quantity,gross_amount,discount_amount,net_amount,workflow_path
2026-06-22,nfischer,copilot_for_business,0.033333333,0.633333333,0,0.633333333,
2026-06-23,nfischer,copilot_for_business,0.033333333,0.633333333,0,0.633333333,
2026-06-23,nfischer,copilot_ai_credit,18.623001282,0.186230012,0.054006703,0.132223309,
2026-06-24,nfischer,copilot_for_business,0.033333333,0.633333333,0,0.633333333,
2026-06-25,nfischer,copilot_for_business,0.033333333,0.633333333,0,0.633333333,
2026-06-26,nfischer,copilot_for_business,0.033333333,0.633333333,0,0.633333333,
2026-06-26,nfischer,copilot_ai_credit,22.653628308,0.226536283,0.183494389,0.043041894,
2026-06-27,nfischer,copilot_for_business,0.033333333,0.633333333,0,0.633333333,
2026-06-28,nfischer,copilot_for_business,0.033333333,0.633333333,0,0.633333333,
2026-06-29,nfischer,copilot_for_business,0.033333333,0.633333333,0,0.633333333,
2026-06-29,nfischer,copilot_ai_credit,78.223501541,0.782235015,0.617965661,0.164269354,
2026-06-30,nfischer,copilot_for_business,0.033333333,0.633333333,0,0.633333333,
2026-07-01,nfischer,copilot_for_business,0.032258064,0.612903225,0,0.612903225,
2026-07-01,nfischer,copilot_ai_credit,56.015322621,0.560153224,0.548950159,0.011203065,
2026-07-02,nfischer,copilot_for_business,0.032258064,0.612903225,0,0.612903225,
2026-07-02,nfischer,copilot_ai_credit,19.181471858,0.191814718,0.080562181,0.111252537,
2026-07-03,nfischer,copilot_for_business,0.032258064,0.612903225,0,0.612903225,
2026-07-03,nfischer,copilot_ai_credit,54.973529959,0.549735299,0.494761768,0.054973531,
2026-07-04,nfischer,copilot_for_business,0.032258064,0.612903225,0,0.612903225,
2026-07-05,nfischer,copilot_for_business,0.032258064,0.612903225,0,0.612903225,
2026-07-06,nfischer,copilot_for_business,0.032258064,0.612903225,0,0.612903225,
2026-07-06,nfischer,copilot_ai_credit,19.417514507,0.194175145,0.097087572,0.097087573,
2026-07-07,nfischer,copilot_for_business,0.032258064,0.612903225,0,0.612903225,
